Epoch,Precision,Recall,F1,Accuracy,AUROC,AUPRC,MCC
1,0.37598647125140927,0.10507246376811594,0.16424525978822951,0.904740520362626,0.9159665515734694,0.36709423364773,0.16092626979867028
2,0.391304347826087,0.0014177693761814746,0.002825302150368859,0.9108450980942491,0.9158003357758603,0.3677750331036257,0.019063349701556962
3,0.2857142857142857,0.000315059861373661,0.0006294256490952006,0.9108731651183025,0.915542712089261,0.36780467850781384,0.006841663208596157
4,0.37341772151898733,0.055765595463137994,0.09703947368421052,0.90754722276797,0.9155378874166034,0.3682818333102267,0.11589967887128283
5,0.37490396927016645,0.23062381852551986,0.28557495367209595,0.8972045244042774,0.9159738492548987,0.368149904268298,0.24159217540508893
6,0.35459921983138293,0.4439193446754883,0.39426372857642533,0.8784838193606332,0.9163197270769075,0.36917232333614763,0.3302247382841754
7,0.35844795729829604,0.5500945179584121,0.434058421379739,0.8722108394846895,0.9166002509703465,0.36995465275175654,0.3762943378571407
8,0.36506169403469707,0.619880277252678,0.4595083785835231,0.8700917791686548,0.9169262197369494,0.3711325352207707,0.4089960618492967
9,0.3696847987426875,0.6669817265280403,0.47570361215662044,0.869025232254624,0.9174512378003492,0.37388503704747555,0.4310602878465476
10,0.3719952933266095,0.6972274732199117,0.4851474295736052,0.8681691880209942,0.9185856741489864,0.3788881505623729,0.4446297913332835
