1,0.1525,0.1554,0.4500,5910.8194,0.7397
2,0.3040,0.3048,0.5355,8676.8169,0.6292
3,0.3361,0.3393,0.5511,9109.0144,0.6119
4,0.3683,0.3724,0.5802,10314.4490,0.5695
5,0.3300,0.3335,0.5521,9155.8551,0.5667
6,0.3765,0.3766,0.5799,10359.1862,0.5599
7,0.3886,0.3886,0.5836,10696.6107,0.5508
8,0.3901,0.3955,0.5959,11306.3653,0.5348
9,0.4012,0.4030,0.6014,11604.9809,0.5317
10,0.4058,0.4087,0.6069,11916.7724,0.5244
1,0.2231,0.2350,0.5059,6994.1312,0.7101
2,0.3289,0.3325,0.5420,8683.1552,0.6307
3,0.3312,0.3329,0.5289,8483.8838,0.6004
4,0.3851,0.3851,0.5762,10585.0435,0.5617
5,0.3965,0.4035,0.5979,11364.8530,0.5440
6,0.4221,0.4229,0.5979,11845.2835,0.5357
7,0.4111,0.4124,0.6041,11979.4882,0.5264
8,0.4120,0.4126,0.5987,11614.8688,0.5357
9,0.4164,0.4165,0.5880,11111.7750,0.5440
10,0.4304,0.4311,0.5989,11445.3875,0.5336
1,0.0865,0.1041,0.3219,2875.6216,0.8263
2,0.2514,0.2775,0.5258,7058.0398,0.6618
3,0.3044,0.3056,0.5384,8341.3048,0.6271
4,0.3413,0.3413,0.5471,8709.0652,0.5971
5,0.3697,0.3877,0.6010,10669.7727,0.5477
6,0.3586,0.3590,0.5742,10261.2227,0.5680
7,0.4040,0.4107,0.6048,11402.7635,0.5367
8,0.3993,0.4004,0.5881,10758.0896,0.5515
9,0.3887,0.3968,0.6155,12081.1666,0.5225
10,0.3897,0.3908,0.5945,11042.2142,0.5425
1,0.1331,0.1353,0.4419,5178.2465,0.8306
2,0.2527,0.2662,0.5161,6886.8107,0.7004
3,0.3099,0.3103,0.4889,6328.6485,0.6959
4,0.3400,0.3413,0.4993,7000.7719,0.6358
5,0.3488,0.3494,0.5405,8813.5839,0.5965
6,0.4134,0.4137,0.5780,10277.8890,0.5584
7,0.3986,0.3985,0.5845,10694.3892,0.5483
8,0.3688,0.3699,0.5545,8790.6395,0.5659
9,0.4148,0.4148,0.5881,10655.5169,0.5353
10,0.3905,0.3917,0.5837,10715.8907,0.5331
1,0.0914,0.0934,0.3697,3678.4956,0.9532
2,0.2197,0.2304,0.5201,7204.6383,0.6993
3,0.3176,0.3318,0.5674,9184.9603,0.6106
4,0.3565,0.3638,0.5594,9288.2377,0.6104
5,0.3733,0.3735,0.5410,8785.7899,0.6002
6,0.3946,0.3948,0.5712,10004.7618,0.5665
7,0.4199,0.4257,0.6041,11381.9741,0.5379
8,0.4035,0.4085,0.5979,10669.8652,0.5496
9,0.4168,0.4169,0.5733,9730.6036,0.5567
10,0.3833,0.3837,0.5752,10034.5585,0.5509
1,0.1568,0.1650,0.5101,6939.2114,0.7027
2,0.2737,0.2760,0.5339,8186.4910,0.6426
3,0.3217,0.3290,0.5740,9818.3099,0.5888
4,0.3537,0.3555,0.5689,9784.9047,0.5841
5,0.3887,0.3941,0.5989,11390.4144,0.5414
6,0.3662,0.3665,0.5654,9848.9695,0.5624
7,0.3988,0.4063,0.6038,11678.6337,0.5282
8,0.3947,0.3947,0.5979,11579.5975,0.5313
9,0.4157,0.4157,0.5996,11651.1666,0.5280
10,0.3775,0.3780,0.5891,10948.1287,0.5363
1,0.1354,0.1359,0.4397,5345.9181,0.8192
2,0.2497,0.2705,0.5594,8503.5929,0.6324
3,0.3231,0.3235,0.5236,7417.3776,0.6400
4,0.3774,0.3870,0.5823,9629.5052,0.5812
5,0.3280,0.3314,0.5188,7643.6992,0.5933
6,0.3804,0.3897,0.5928,10329.2326,0.5587
7,0.3509,0.3510,0.5593,8663.1466,0.5656
8,0.4083,0.4093,0.5924,10623.8110,0.5451
9,0.3983,0.3989,0.6018,11417.0022,0.5285
10,0.4077,0.4090,0.5971,10816.3209,0.5372
1,0.1548,0.1687,0.4941,6412.4376,0.7262
2,0.2666,0.2666,0.4994,6812.8062,0.6632
3,0.3300,0.3302,0.5132,7495.4309,0.6310
4,0.3662,0.3667,0.5448,8514.4937,0.6096
5,0.3897,0.4008,0.5953,10727.7160,0.5471
6,0.3761,0.3762,0.5718,10106.1754,0.5579
7,0.4185,0.4208,0.5990,11299.4399,0.5345
8,0.3393,0.3465,0.5366,8293.2057,0.5635
9,0.4071,0.4071,0.5879,10623.1718,0.5392
10,0.4190,0.4190,0.5912,10910.6795,0.5359
