Epoch,Accuracy,Precision,Recall,F1,AUC-ROC,AUPRC,MCC
1,0.6657815463572465,0.6815292900428634,0.6190092629883206,0.648766532220242,0.74378054313334,0.7216724237641866,0.3327894101862362
2,0.6996987615753654,0.6568887006248014,0.8327292253993824,0.7344304996448022,0.7898576550041996,0.7649167811458546,0.4148606522934145
3,0.7357358027446168,0.7068530917684127,0.8031055622678659,0.7519115151769068,0.8241778660595369,0.8022103339007569,0.4760686442979484
4,0.7558183643869241,0.7174178296347137,0.8419474649841142,0.7747102299631482,0.850729901314817,0.8310588671868152,0.5197003874047934
5,0.7765480307932612,0.7664750875070222,0.7937083277397413,0.7798540274358072,0.8653574341325018,0.8492143289805206,0.5534830834816981
6,0.7881512886310387,0.7636512820512821,0.8329529690786235,0.7967980822738753,0.8802836629694746,0.8636187327158006,0.5787771953895432
7,0.7955818364386924,0.7611709713199176,0.8598469593233992,0.8075056208106575,0.8878503439833014,0.8712620492340082,0.5963045857119564
8,0.804440477518688,0.8018578603493488,0.8073119434375979,0.804575658921643,0.8951742688809811,0.8807619583075523,0.6088992763197728
9,0.8097958272899699,0.7785659586473741,0.8644113303799168,0.8192459391831715,0.9021186241984035,0.8885948511151329,0.6234805943341523
10,0.8156643980809997,0.7706972096241064,0.8973016512283528,0.8291946655639408,0.9100872889937173,0.8972495978414089,0.6401305134569417
11,0.8257726207742944,0.8061486628763951,0.8565803016064796,0.8305996702247679,0.9135986038713082,0.9019050084452185,0.6528728694146629
12,0.8246122949905166,0.8095380539293192,0.8477200519085336,0.8281892104572878,0.9141517908986616,0.9030298144795637,0.6499858680206214
13,0.8376213321432556,0.8210481465700895,0.8623081397950508,0.8411724905602724,0.9203118652687184,0.9089865178314297,0.676133684637172
14,0.8402990070288966,0.808815158168659,0.8901418534926389,0.8475320082656952,0.9244982590813824,0.9119151670672866,0.684128764877731
15,0.8408568559634051,0.8304878578565533,0.8554615832102743,0.8427897544416524,0.9219457219184811,0.9131695772484266,0.6820439004776542
