Epoch,Homogeneity,Completeness,Silhouette Coefficient,Calinski-Harabasz Index,Davies-Bouldin Index
1,0.059485801551136,0.06093840283135883,0.33932963013648987,15868.715338445589,1.1072926937768512
2,0.024685800699051578,0.14944377193381891,0.7861851453781128,26856.139609165184,0.5811877188626148
3,0.009399066947733058,0.12270318466415249,0.8840029835700989,34738.43251128384,0.42189141057452123
4,0.010368606910390557,0.12494950553258176,0.8846431970596313,28964.401568125566,0.45132370912092834
5,0.011701124730364054,0.12783905101988932,0.8932361006736755,44368.823892058725,0.4511350241682838
6,0.0077337357739531735,0.11848489817034207,0.9266244769096375,56202.35055196014,0.2537765153904943
7,0.007778691981094055,0.11860585590348903,0.9219247102737427,49470.37119436467,0.2885187803078553
8,0.007598884701957293,0.11811939554764192,0.9277527928352356,54798.89152125834,0.2620926688123695
9,0.00771125876734408,0.11842425636777852,0.9286840558052063,57921.341797084984,0.2732296432515642
10,0.006521910347171161,0.11035209429313159,0.831244170665741,4552.2733678102995,0.5616097581648303
11,0.007508998607855419,0.11787349022537875,0.9292009472846985,58585.79013138137,0.2566561512179823
12,0.007419124206517221,0.11762575129462131,0.9297283887863159,64924.047078050105,0.24231434519050488
13,0.007666306947807451,0.11830264410172256,0.9303193688392639,69528.57763567849,0.24855877955719008
14,0.00771125876734408,0.11842425636777852,0.9235240817070007,53107.29574558569,0.2812133289188849
15,0.007666306947807451,0.11830264410172256,0.925788938999176,61084.329971267456,0.26392587320131516
